job_id,job_title,company,location,description,responsibilities,required_skills,preferred_skills,qualifications,experience,education
JOB001,Software Engineering Intern,TechNova Labs,"Bengaluru, India","TechNova Labs is seeking a motivated software engineering intern to work with an engineering team on practical projects involving Java, Python, Git. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Java and Python. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Java, Python, Git, REST APIs, Data Structures","Spring Boot, Docker, AWS","Currently pursuing B.Tech/B.E. in Computer Science, Information Technology, AI, Data Science, or related field.",0–1 years; internship and academic project experience accepted.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB002,Frontend Development Intern - Summer Internship,BluePeak AI,Remote - India,"BluePeak AI is seeking a motivated frontend development intern to work with an engineering team on practical projects involving HTML, CSS, JavaScript. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using HTML and CSS. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","HTML, CSS, JavaScript, React, Git","TypeScript, Tailwind CSS, Figma","Pursuing a bachelor's degree in Computer Science, Engineering, Data Science, or a related technical discipline.",Freshers welcome; prior internship or project experience is a plus.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB003,Backend Development Intern - Technology Intern,BrightPath Technologies,"Chennai, India","BrightPath Technologies is seeking a motivated backend development intern to work with an engineering team on practical projects involving Python, Java, REST APIs. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Python and Java. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Python, Java, REST APIs, SQL, Git","FastAPI, Spring Boot, Docker",Currently enrolled in an undergraduate program in a computing or engineering discipline.,Students with 0–1 years of relevant experience.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB004,Full Stack Development Intern,CloudBridge Systems,"Hyderabad, India","CloudBridge Systems is seeking a motivated full stack development intern to work with an engineering team on practical projects involving JavaScript, React, Node.js. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using JavaScript and React. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","JavaScript, React, Node.js, MongoDB, Git","Express.js, TypeScript, AWS","Currently pursuing B.Tech/B.E. in Computer Science, Information Technology, AI, Data Science, or related field.",0–1 years; internship and academic project experience accepted.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB005,Data Science Intern - Summer Internship,AsterByte Systems,"Noida, India","AsterByte Systems is seeking a motivated data science intern to work with an engineering team on practical projects involving Python, Pandas, NumPy. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Python and Pandas. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Python, Pandas, NumPy, SQL, Statistics","Scikit-learn, Matplotlib, Power BI","Pursuing a bachelor's degree in Computer Science, Engineering, Data Science, or a related technical discipline.",Freshers welcome; prior internship or project experience is a plus.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB006,Machine Learning Intern - Technology Intern,ApexGrid,"Hyderabad, India","ApexGrid is seeking a motivated machine learning intern to work with an engineering team on practical projects involving Python, NumPy, Pandas. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Python and NumPy. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Python, NumPy, Pandas, Scikit-learn, Machine Learning","TensorFlow, PyTorch, MLflow",Currently enrolled in an undergraduate program in a computing or engineering discipline.,Students with 0–1 years of relevant experience.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB007,AI/ML Intern,DataSphere Analytics,"Pune, India","DataSphere Analytics is seeking a motivated ai/ml intern to work with an engineering team on practical projects involving Python, Machine Learning, Deep Learning. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Python and Machine Learning. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Python, Machine Learning, Deep Learning, SQL","PyTorch, TensorFlow, NLP","Currently pursuing B.Tech/B.E. in Computer Science, Information Technology, AI, Data Science, or related field.",0–1 years; internship and academic project experience accepted.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB008,Data Analyst Intern - Summer Internship,NexaWorks,"Gurugram, India","NexaWorks is seeking a motivated data analyst intern to work with an engineering team on practical projects involving SQL, Excel, Python. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using SQL and Excel. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","SQL, Excel, Python, Statistics","Power BI, Tableau, Pandas","Pursuing a bachelor's degree in Computer Science, Engineering, Data Science, or a related technical discipline.",Freshers welcome; prior internship or project experience is a plus.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB009,Cloud Engineering Intern - Technology Intern,FinTechNova,"Mumbai, India","FinTechNova is seeking a motivated cloud engineering intern to work with an engineering team on practical projects involving Linux, Git, Networking. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Linux and Git. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Linux, Git, Networking, Python","AWS, Docker, Kubernetes",Currently enrolled in an undergraduate program in a computing or engineering discipline.,Students with 0–1 years of relevant experience.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
JOB010,DevOps Intern,NextGen Software,"Chennai, India","NextGen Software is seeking a motivated devops intern to work with an engineering team on practical projects involving Linux, Git, CI/CD. The intern will contribute to development, testing, documentation, and team collaboration while learning production engineering practices.","Work on internship projects using Linux and Git. | Implement, test, debug, and document assigned features or analysis tasks. | Collaborate with engineers, analysts, designers, or product stakeholders. | Participate in code reviews, sprint discussions, and technical learning sessions.","Linux, Git, CI/CD, Docker","Jenkins, Kubernetes, AWS","Currently pursuing B.Tech/B.E. in Computer Science, Information Technology, AI, Data Science, or related field.",0–1 years; internship and academic project experience accepted.,B.Tech/B.E./B.Sc. undergraduate in a relevant technical field
